name,winning_perc_before_ko,winning_perc_after_ko
Aalon Cruz,0.0,0.0
Aaron Rosa,0.0,0.0
Aaron Simpson,0.3333333333333333,0.0
Abdul Razak Alhassan,0.5714285714285714,0.5
Abu Azaitar,0.5,0.0
Abus Magomedov,0.5,0.0
Adam Fugitt,0.0,0.5
Adam Milstead,0.25,0.0
Adrian Yanez,0.8333333333333334,0.0
Adriano Martins,0.5,0.6
Aiemann Zahabi,0.5,0.75
Akbarh Arreola,0.25,0.0
Akira Corassani,0.75,0.0
Al Iaquinta,0.6,0.0
Alan Baudot,0.0,0.0
Alan Jouban,0.6,0.625
Alan Patrick,0.6666666666666666,0.42857142857142855
Albert Cheng,0.0,0.0
Albert Duraev,0.5,0.5
Albert Morales,0.0,0.25
Alberto Uda,0.0,0.0
Alejandro Perez,0.6363636363636364,0.5
Aleksandar Rakic,0.75,0.0
Aleksei Oleinik,0.6666666666666666,0.45454545454545453
Alen Amedovski,0.0,0.0
Alessandro Costa,0.0,1.0
Alessio Di Chirico,0.4,0.0
Alessio Sakara,0.0,0.0
Alex Caceres,0.4444444444444444,0.6875
Alex Garcia,0.6,0.4
Alex Morono,0.6,0.75
Alex Nicholson,0.25,0.0
Alex Oliveira,0.6363636363636364,0.36363636363636365
Alex Pereira,0.8,1.0
Alex Perez,0.75,0.6
Alex Reyes,0.0,0.0
Alex Ricci,0.0,0.0
Alex White,0.5,0.375
Alexander Gustafsson,0.6,0.2857142857142857
Alexander Hernandez,0.6666666666666666,0.5
Alexander Volkov,0.8,0.6666666666666666
Alexandr Romanov,0.7142857142857143,1.0
Alexis Davis,0.75,0.5
Alistair Overeem,0.0,0.6111111111111112
Aljamain Sterling,0.6666666666666666,0.9
Allen Crowder,0.0,0.5
Alonzo Menifield,0.5,0.7142857142857143
Alptekin Ozkilic,0.3333333333333333,0.0
Alvaro Herrera Mendoza,0.25,0.0
Amanda Lemos,0.0,0.7777777777777778
Amanda Nunes,0.6666666666666666,0.9333333333333333
Amanda Ribas,0.8,0.5
Anderson Dos Santos,0.25,0.0
Anderson Silva,0.6666666666666666,0.125
Andre Ewell,0.5,0.4
Andre Fialho,0.5,0.0
Andre Fili,0.5,0.5
Andre Muniz,0.7142857142857143,0.0
Andreas Michailidis,0.0,0.3333333333333333
Andreas Stahl,0.0,0.0
Andrei Arlovski,0.8,0.42857142857142855
Andrew Craig,0.42857142857142855,0.0
Andrew Holbrook,0.5,0.3333333333333333
Andrew Sanchez,0.6666666666666666,0.42857142857142855
Andy Enz,0.0,0.0
Andy Ogle,0.16666666666666666,0.0
Angela Magana,0.0,0.0
Anna Elmose,0.0,0.0
Anthony Birchak,0.3333333333333333,0.3333333333333333
Anthony Christodoulou,0.0,0.0
Anthony Hamilton,0.3333333333333333,0.2857142857142857
Anthony Hernandez,0.3333333333333333,1.0
Anthony Ivy,0.0,0.0
Anthony Lapsley,0.0,0.0
Anthony Perosh,0.5,0.4
Anthony Pettis,0.5555555555555556,0.5555555555555556
Anthony Smith,0.5714285714285714,0.5833333333333334
Anton Zafir,0.0,0.0
Antonina Shevchenko,0.42857142857142855,1.0
Antonio Arroyo,0.0,0.0
Antonio Braga Neto,0.3333333333333333,0.0
Antonio Carlos Junior,0.4,0.625
Antonio Carvalho,0.5,0.0
Antonio Dos Santos,0.0,0.0
Antonio Rodrigo Nogueira,0.3333333333333333,0.0
Antonio Silva,0.0,0.3
Anying Wang,0.5,0.0
Aoriqileng,0.4,0.0
Ariane Carnelossi,0.0,0.6666666666666666
Ariane Lipski,0.4,0.6
Ariel Beck,0.0,0.0
Ashkan Mokhtarian,0.0,0.0
Askar Mozharov,0.0,0.0
Aspen Ladd,0.75,0.3333333333333333
Augusto Mendes,0.0,0.5
Augusto Montano,0.3333333333333333,0.0
Augusto Sakai,0.8,0.25
Austin Arnett,0.0,0.3333333333333333
Azamat Gashimov,0.0,0.0
BJ Penn,0.0,0.0
Barb Honchak,0.0,0.0
Batgerel Danaa,0.6,0.0
Bea Malecki,0.6666666666666666,0.0
Bec Rawlings,0.5,0.0
Belal Muhammad,0.3333333333333333,0.8666666666666667
Ben Askren,0.5,0.0
Ben Nguyen,0.6666666666666666,0.5
Ben Rothwell,0.5714285714285714,0.0
Ben Saunders,0.75,0.25
Ben Sosoli,0.0,0.0
Ben Wall,0.0,0.0
Beneil Dariush,0.5,0.75
Benson Henderson,0.75,0.6666666666666666
Bentley Syler,0.0,0.0
Bethe Correia,0.75,0.25
Bevon Lewis,0.0,0.3333333333333333
Bibulatov Magomed,0.5,0.0
Billy Quarantillo,0.625,1.0
Bobby Green,0.6666666666666666,0.4375
Bobby Nash,0.0,0.0
